,leg_length,leg_width,arm_length,arm_width,species
111,6.4,2.7,5.3,1.9,predacon
112,6.8,3.0,5.5,2.1,predacon
113,5.7,2.5,5.0,2.0,predacon
114,5.8,2.8,5.1,2.4,predacon
115,6.4,3.2,5.3,2.3,predacon
116,6.5,3.0,5.5,1.8,predacon
117,7.7,3.8,6.7,2.2,predacon
118,7.7,2.6,6.9,2.3,predacon
119,6.0,2.2,5.0,1.5,predacon
120,6.9,3.2,5.7,2.3,predacon
121,5.6,2.8,4.9,2.0,predacon
122,7.7,2.8,6.7,2.0,predacon
123,6.3,2.7,4.9,1.8,predacon
124,6.7,3.3,5.7,2.1,predacon
125,7.2,3.2,6.0,1.8,predacon
126,6.2,2.8,4.8,1.8,predacon
127,6.1,3.0,4.9,1.8,predacon
128,6.4,2.8,5.6,2.1,predacon
129,7.2,3.0,5.8,1.6,predacon
130,7.4,2.8,6.1,1.9,predacon
131,7.9,3.8,6.4,2.0,predacon
132,6.4,2.8,5.6,2.2,predacon
133,6.3,2.8,5.1,1.5,predacon
134,6.1,2.6,5.6,1.4,predacon
135,7.7,3.0,6.1,2.3,predacon
136,6.3,3.4,5.6,2.4,predacon
137,6.4,3.1,5.5,1.8,predacon
138,6.0,3.0,4.8,1.8,predacon
139,6.9,3.1,5.4,2.1,predacon
140,6.7,3.1,5.6,2.4,predacon
141,6.9,3.1,5.1,2.3,predacon
142,5.8,2.7,5.1,1.9,predacon
143,6.8,3.2,5.9,2.3,predacon
144,6.7,3.3,5.7,2.5,predacon
145,6.7,3.0,5.2,2.3,predacon
146,6.3,2.5,5.0,1.9,predacon
147,6.5,3.0,5.2,2.0,predacon
148,6.2,3.4,5.4,2.3,predacon
149,5.9,3.0,5.1,1.8,predacon
